Zipcode,MedianIncome
ZCTA5 03450,48382.00
ZCTA5 03451,54420.00
ZCTA5 03452,52695.00
ZCTA5 03455,66250.00
ZCTA5 03456,64417.00
ZCTA5 03457,61486.00
ZCTA5 03458,66800.00
ZCTA5 03461,82535.00
ZCTA5 03462,74018.00
ZCTA5 03464,55259.00
ZCTA5 03465,76023.00
ZCTA5 03466,80486.00
ZCTA5 03467,45771.00
ZCTA5 03470,43314.00
ZCTA5 03561,36358.00
ZCTA5 03570,49671.00
ZCTA5 03574,88750.00
ZCTA5 03575,44841.00
ZCTA5 03576,40063.00
ZCTA5 03579,68958.00
ZCTA5 03580,52390.00
ZCTA5 03581,36996.00
ZCTA5 03582,51188.00
ZCTA5 03583,48264.00
ZCTA5 03584,49087.00
ZCTA5 03585,67500.00
ZCTA5 03586,52794.00
ZCTA5 03588,30096.00
ZCTA5 03590,35729.00
ZCTA5 03592,72000.00
ZCTA5 03593,52250.00
ZCTA5 03595,27417.00
ZCTA5 03597,44864.00
ZCTA5 03598,43854.00
ZCTA5 03601,65556.00
ZCTA5 03602,42920.00
ZCTA5 03603,66607.00
ZCTA5 03604,61161.00
ZCTA5 03605,55357.00
ZCTA5 03607,55679.00
ZCTA5 03608,51071.00
ZCTA5 03609,48750.00
ZCTA5 03740,58780.00
ZCTA5 03741,45709.00
ZCTA5 03743,73500.00
ZCTA5 03745,78000.00
ZCTA5 03746,80110.00
ZCTA5 03748,135750.00
ZCTA5 03750,56250.00
ZCTA5 03751,49167.00
ZCTA5 03752,96875.00
ZCTA5 03753,
ZCTA5 03754,86020.00
ZCTA5 03755,58393.00
ZCTA5 03765,55183.00
ZCTA5 03766,110781.00
ZCTA5 03768,100568.00
ZCTA5 03770,62083.00
ZCTA5 03771,55829.00
ZCTA5 03773,57426.00
ZCTA5 03774,76339.00
ZCTA5 03777,72841.00
ZCTA5 03779,65694.00
ZCTA5 03780,98375.00
ZCTA5 03781,74113.00
ZCTA5 03782,45536.00
ZCTA5 03784,40435.00
ZCTA5 03785,68436.00
ZCTA5 03801,56799.00
ZCTA5 03809,83125.00
ZCTA5 03810,95341.00
ZCTA5 03811,31357.00
ZCTA5 03812,59978.00
ZCTA5 03813,44458.00
ZCTA5 03814,59676.00
ZCTA5 03816,20403.00
ZCTA5 03817,40643.00
ZCTA5 03818,90938.00
ZCTA5 03819,60045.00
ZCTA5 03820,99219.00
ZCTA5 03823,67578.00
ZCTA5 03824,82431.00
ZCTA5 03825,80774.00
ZCTA5 03826,85667.00
ZCTA5 03827,43313.00
ZCTA5 03830,66875.00
ZCTA5 03832,81896.00
ZCTA5 03833,50632.00
ZCTA5 03835,48472.00
ZCTA5 03836,56094.00
ZCTA5 03837,57936.00
ZCTA5 03838,60000.00
ZCTA5 03839,87949.00
ZCTA5 03840,93375.00
ZCTA5 03841,73333.00
ZCTA5 03842,105625.00
ZCTA5 03844,53173.00
ZCTA5 03845,77031.00
ZCTA5 03846,82574.00
ZCTA5 03847,74817.00
ZCTA5 03848,53537.00
ZCTA5 03849,47417.00
ZCTA5 03850,60244.00
ZCTA5 03851,45179.00
ZCTA5 03852,62880.00
ZCTA5 03853,122604.00
ZCTA5 03854,78583.00
ZCTA5 03855,102500.00
ZCTA5 03856,63178.00
ZCTA5 03857,78980.00
ZCTA5 03858,43341.00
ZCTA5 03860,96083.00
ZCTA5 03861,86853.00
ZCTA5 03862,46250.00
ZCTA5 03864,70264.00
ZCTA5 03865,45693.00
ZCTA5 03867,53538.00
ZCTA5 03868,63221.00
ZCTA5 03869,96500.00
ZCTA5 03870,
ZCTA5 03871,51496.00
ZCTA5 03872,77861.00
ZCTA5 03873,51871.00
ZCTA5 03874,60441.00
ZCTA5 03875,53105.00
ZCTA5 03878,44779.00
ZCTA5 03882,101974.00
ZCTA5 03883,97333.00
ZCTA5 03884,116111.00
ZCTA5 03885,50273.00
ZCTA5 03886,54653.00
ZCTA5 03887,48333.00
ZCTA5 03890,62200.00
ZCTA5 03894,64309.00
ZCTA5 03901,72042.00
ZCTA5 03902,79403.00
ZCTA5 03903,59521.00
ZCTA5 03904,62500.00
ZCTA5 03905,72991.00
ZCTA5 03906,61750.00
ZCTA5 03907,75341.00
ZCTA5 03908,69571.00
ZCTA5 03909,51875.00
ZCTA5 03910,9423.00
ZCTA5 03911,60625.00
ZCTA5 04001,56984.00
ZCTA5 04002,73750.00
ZCTA5 04003,46775.00
ZCTA5 04005,34464.00
ZCTA5 04006,65658.00
ZCTA5 04008,42808.00
ZCTA5 04009,55347.00
ZCTA5 04010,55833.00
ZCTA5 04011,51327.00
ZCTA5 04015,57321.00
ZCTA5 04017,
ZCTA5 04019,40069.00
ZCTA5 04020,94428.00
ZCTA5 04021,49803.00
ZCTA5 04022,65197.00
ZCTA5 04024,62870.00
ZCTA5 04027,50500.00
ZCTA5 04029,61934.00
ZCTA5 04030,10833.00
ZCTA5 00601,16353.00
ZCTA5 00602,16323.00
ZCTA5 00603,14138.00
ZCTA5 00606,17265.00
ZCTA5 00610,17752.00
ZCTA5 00612,15115.00
ZCTA5 00616,15461.00
ZCTA5 00617,14993.00
ZCTA5 00622,17044.00
ZCTA5 00623,15467.00
ZCTA5 00624,19490.00
ZCTA5 00627,9613.00
ZCTA5 00631,14977.00
ZCTA5 00637,12588.00
ZCTA5 00638,15542.00
ZCTA5 00641,27924.00
ZCTA5 00646,13668.00
ZCTA5 00647,15090.00
ZCTA5 00650,14903.00
ZCTA5 00652,13596.00
ZCTA5 00653,15440.00
ZCTA5 00656,19130.00
ZCTA5 00659,21323.00
ZCTA5 00660,16050.00
ZCTA5 00662,15976.00
ZCTA5 00664,13527.00
ZCTA5 00667,11967.00
ZCTA5 00669,14989.00
ZCTA5 00670,18796.00
ZCTA5 00674,15277.00
ZCTA5 00676,16737.00
ZCTA5 00677,14824.00
ZCTA5 00678,15173.00
ZCTA5 00680,15868.00
ZCTA5 00682,15030.00
ZCTA5 00683,14686.00
ZCTA5 00685,16086.00
ZCTA5 00687,14135.00
ZCTA5 00688,19688.00
ZCTA5 00690,18003.00
ZCTA5 00692,16709.00
ZCTA5 00693,11250.00
ZCTA5 00694,15414.00
ZCTA5 00698,14968.00
ZCTA5 00703,12341.00
ZCTA5 00704,16744.00
ZCTA5 00705,17866.00
ZCTA5 00707,15901.00
ZCTA5 00714,13534.00
ZCTA5 00715,18609.00
ZCTA5 00716,11692.00
ZCTA5 00717,18247.00
ZCTA5 00718,17592.00
ZCTA5 00719,14578.00
ZCTA5 00720,14343.00
ZCTA5 00723,20704.00
ZCTA5 00725,29304.00
ZCTA5 00727,17689.00
ZCTA5 00728,21243.00
ZCTA5 00729,15459.00
ZCTA5 00730,15894.00
ZCTA5 00731,20450.00
ZCTA5 00735,21023.00
ZCTA5 00736,20917.00
ZCTA5 00738,23629.00
