Zipcode,Food_Stamp,With_Health_Coverage,With_Private_Insurance,With_public_coverage,No_health_insurance_coverage,Below_Poverty_Level
ZCTA5 00601,52.5,80.3,43.2,37.9,19.7,4
ZCTA5 00602,43,90.3,51.3,41.6,9.7,2.8
ZCTA5 00603,43.1,90.5,61.9,31.3,9.5,2.9
ZCTA5 00606,53.3,94.3,59.3,37.6,5.7,5.9
ZCTA5 00610,43.4,94.8,61.6,35.4,5.2,4
ZCTA5 00612,44,88.1,65,25.1,11.9,2.3
ZCTA5 00616,49.9,84.9,55.9,30.7,15.1,6.1
ZCTA5 00617,42.7,88,65,26.5,12,4.6
ZCTA5 00622,38.2,100,65.4,37.2,0,8.4
ZCTA5 00623,33.9,92.5,68.7,25.8,7.5,3.3
ZCTA5 00624,50.6,92.2,55.4,39.5,7.8,4.2
ZCTA5 00627,44.3,91,54.4,38.4,9,3.2
ZCTA5 00631,66.3,84,33.1,52.9,16,13.7
ZCTA5 00637,42.2,93.2,66.4,30.3,6.8,4.3
ZCTA5 00638,57.3,90,50.4,42.6,10,4.5
ZCTA5 00641,52,82.4,42.6,40.7,17.6,3.4
ZCTA5 00646,29.6,91.4,73.9,19.5,8.6,3.1
ZCTA5 00647,48.4,87,61.1,29.4,13,8.8
ZCTA5 00650,44.7,87.9,53,37.2,12.1,5.6
ZCTA5 00652,41.5,92,77.7,16.2,8,10.5
ZCTA5 00653,54.2,91.3,45.3,49.3,8.7,4.2
ZCTA5 00656,48.7,92.9,63.1,32.1,7.1,3.4
ZCTA5 00659,43.5,89.7,58,33.3,10.3,3.2
ZCTA5 00660,35.8,91.7,68.3,27,8.3,4
ZCTA5 00662,40.8,88.3,56.6,32.6,11.7,3.4
ZCTA5 00664,51.2,97.8,53.1,46.5,2.2,6
ZCTA5 00667,46.2,94,59.2,36.9,6,3.7
ZCTA5 00669,53.5,77.1,41.7,37.7,22.9,3.2
ZCTA5 00670,45.7,94,54.4,40.5,6,5.6
ZCTA5 00674,38.7,86.8,64,25,13.2,2.7
ZCTA5 00676,49.6,91.9,53.2,41.7,8.1,3.5
ZCTA5 00677,38.5,94.1,51.9,45.2,5.9,4.9
ZCTA5 00678,48.4,92.2,49.4,45.2,7.8,4.5
ZCTA5 00680,39.6,88.7,57.2,34.4,11.3,2.8
ZCTA5 00682,37.3,88.9,67.5,24.3,11.1,3.4
ZCTA5 00683,40.9,93.4,60.2,35.1,6.6,3.2
ZCTA5 00685,50.5,89.9,42.3,49.2,10.1,2.8
ZCTA5 00687,50.7,92.3,53,41.1,7.7,4.3
ZCTA5 00688,48.5,86.9,53.4,34.6,13.1,5
ZCTA5 00690,34.6,94.6,66.2,29.7,5.4,8.2
ZCTA5 00692,40.9,88.4,62.8,27.9,11.6,3.3
ZCTA5 00693,37,88.6,67.8,22.2,11.4,2.5
ZCTA5 00694,16.5,100,100,0,0,62.5
ZCTA5 00698,46.2,92,57.8,36.5,8,2.9
ZCTA5 00703,49.9,89.7,51.1,42,10.3,4.3
ZCTA5 00704,48.4,92.6,43.7,50.8,7.4,7.7
ZCTA5 00705,50.8,94.9,65.8,31,5.1,4.1
ZCTA5 00707,44,92.3,49.3,44.4,7.7,5.8
ZCTA5 00714,44.3,92.7,53.5,42.6,7.3,5.3
ZCTA5 00715,53.5,93.1,59,35.5,6.9,10.2
ZCTA5 00716,40.2,88.5,64,27.4,11.5,3.1
ZCTA5 00717,49.7,90.3,53,38.4,9.7,4
ZCTA5 00718,46.8,91.1,56.1,35.8,8.9,4.6
ZCTA5 00719,53,88.9,62.9,26.7,11.1,3.8
ZCTA5 00720,54.4,93.3,49.2,47.4,6.7,4.1
ZCTA5 00723,49.1,92.1,54.5,40.1,7.9,4.9
ZCTA5 00725,36.3,88,62.1,27.1,12,1.8
ZCTA5 00727,25.3,89.3,72.1,18.4,10.7,2.3
ZCTA5 00728,41.3,89,57.1,34.2,11,2.8
ZCTA5 00729,36.8,84.8,63.7,22.6,15.2,2.7
ZCTA5 00730,47.7,90.8,58.1,34.8,9.2,3.1
ZCTA5 00731,49.7,89.7,55.9,35.8,10.3,4.3
ZCTA5 00735,36.9,89.4,60,30.7,10.6,5.7
ZCTA5 00736,35.2,87.9,58.6,31.4,12.1,2.8
ZCTA5 00738,38.1,85.6,64.5,23.6,14.4,3.6
ZCTA5 00739,38.5,89.2,60.2,31.4,10.8,2.6
ZCTA5 00740,66.2,89.8,50.9,38.9,10.2,14.3
ZCTA5 00741,41.5,94.8,57.8,38.6,5.2,7.7
ZCTA5 00745,39.7,89.2,65.5,25.5,10.8,2.8
ZCTA5 00751,42.9,87.8,48.8,40,12.2,4.2
ZCTA5 00754,39.8,90.9,59.8,32.8,9.1,3.2
ZCTA5 00757,44,87.8,54.1,35.6,12.2,3.8
ZCTA5 00765,35.4,88.9,47.5,43.8,11.1,8.7
ZCTA5 00766,54.5,96.6,51.8,47.7,3.4,3.8
ZCTA5 00767,51.6,90.1,51.7,39.5,9.9,3.2
ZCTA5 00769,44.4,90.3,55.1,37.2,9.7,3.4
ZCTA5 00771,42.4,87.9,58.8,30.6,12.1,3.8
ZCTA5 00772,50,86.3,52.9,34.1,13.7,3.9
ZCTA5 00773,42.3,87.4,61.8,28.9,12.6,4
ZCTA5 00775,32.9,84.8,39,47.2,15.2,11.9
ZCTA5 00777,41.2,89.7,65.8,25.9,10.3,2.9
ZCTA5 00778,26.4,90.1,71.9,19,9.9,2.8
ZCTA5 00780,38.1,90.2,67.8,23.5,9.8,5.4
ZCTA5 00782,56.1,91,49.9,43.9,9,4.8
ZCTA5 00783,51.1,94.5,59.8,35.8,5.5,3.6
ZCTA5 00784,41.1,91.5,57,35.6,8.5,3.1
ZCTA5 00786,35.6,75,75,0,25,30.7
ZCTA5 00791,39.3,90.1,58.1,33.1,9.9,3.2
ZCTA5 00794,58.2,95.2,56.2,39.9,4.8,3.7
ZCTA5 00795,43.7,92.8,61.6,33,7.2,2.2
ZCTA5 00901,26.8,83.5,67.8,17.5,16.5,8
ZCTA5 00906,0,32.1,32.1,0,67.9,92
ZCTA5 00907,11.2,81.1,68.1,14.5,18.9,4.1
ZCTA5 00909,29.5,80.5,50.1,32.5,19.5,8.3
ZCTA5 00911,14.9,79.2,67.4,12.6,20.8,5.4
ZCTA5 00912,17.5,74.4,55.9,19.7,25.6,6.8
ZCTA5 00913,58.4,84.2,54.4,29.9,15.8,5.2
ZCTA5 00915,40.5,67.7,37.7,32.1,32.3,3.2
ZCTA5 00917,35.5,78,53.8,25.8,22,4.1
ZCTA5 00918,25.9,88.8,77.6,12.5,11.2,5.5
ZCTA5 00920,20.2,78.3,62.4,18.4,21.7,3.6
ZCTA5 00921,31.6,79,63,17.6,21,3.4
ZCTA5 00923,39.4,78.2,56.9,23.4,21.8,3.8
ZCTA5 00924,36.3,84,64,22.8,16,2.7
ZCTA5 00925,24.4,62.7,42.9,20.4,37.3,9.6
ZCTA5 00926,18.3,92,79.9,13.6,8,1.8
ZCTA5 00927,16.1,90.2,86,6,9.8,3.6
ZCTA5 00934,0,100,100,0,0,43.8
ZCTA5 00936,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 00949,28.9,88.1,68.1,22.7,11.9,2
ZCTA5 00950,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 00951,100,100,0,100,0,9999999.99
ZCTA5 00952,45.1,89.9,50.8,40,10.1,5.3
ZCTA5 00953,29.7,90,73.4,18.1,10,2.4
ZCTA5 00956,30.4,87.1,66.5,22.6,12.9,2.1
ZCTA5 00957,30.7,88.5,71.9,18.8,11.5,2.6
ZCTA5 00959,25.8,90.1,74.1,18.7,9.9,2.2
ZCTA5 00960,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 00961,25.3,89.6,73.5,18.6,10.4,2.8
ZCTA5 00962,47.9,88.5,63.2,27.1,11.5,3.7
ZCTA5 00965,44,82,50.3,34.6,18,6.3
ZCTA5 00966,11.2,93.4,87.2,7,6.6,3.2
ZCTA5 00968,6.3,91.1,89.1,4.6,8.9,4.6
ZCTA5 00969,13.9,90.9,85.5,6.5,9.1,2.2
ZCTA5 00971,28.5,83.2,65,19.1,16.8,4.7
ZCTA5 00976,24.9,89.9,72.7,19,10.1,2.4
ZCTA5 00979,9.3,88.3,79.7,11,11.7,4
ZCTA5 00982,26.2,85.9,70.2,18.8,14.1,3.9
ZCTA5 00983,29.7,83.2,65.8,19.8,16.8,3.1
ZCTA5 00985,28.3,83.6,68.9,17.5,16.4,2.9
ZCTA5 00987,26.6,87.6,74.3,15.5,12.4,2.4
ZCTA5 01001,9.7,95.3,89.3,8.7,4.7,3.3
ZCTA5 01002,8.1,96.8,92.3,6.2,3.2,3.3
ZCTA5 01003,0,98.8,97.9,1.8,1.2,88.8
ZCTA5 01005,6.3,99.5,88.6,14.8,0.5,1.5
ZCTA5 01007,9.3,99.2,91,11.1,0.8,3.3
ZCTA5 01008,5.3,99.7,94.9,8.3,0.3,4.3
ZCTA5 01009,4.6,73.2,51.9,21.3,26.8,16.5
ZCTA5 01010,10.7,99.2,89.5,14.6,0.8,4.7
ZCTA5 01011,8.2,95.3,86.3,12.8,4.7,3.5
ZCTA5 01012,2.7,91.3,85,6.3,8.7,6.6
ZCTA5 01013,28.6,94.5,76.9,19.7,5.5,3.6
ZCTA5 01020,14.8,94.9,82.3,15.9,5.1,2.5
ZCTA5 01022,3.4,100,98.1,3.9,0,6.4
ZCTA5 01026,5,93.2,76.7,17.2,6.8,2.7
ZCTA5 01027,9.4,95,86.1,12.3,5,2
ZCTA5 01028,8.3,97,89.8,9.7,3,2.8
ZCTA5 01029,11.9,98.5,73.6,26,1.5,10.7
ZCTA5 01030,12.8,95.7,92.6,5.9,4.3,3.1
ZCTA5 01031,12.9,96.2,82.1,16,3.8,10.5
ZCTA5 01032,5,95.6,87.9,9.5,4.4,18.7
ZCTA5 01033,7,95.5,90.1,5.8,4.5,2.7
ZCTA5 01034,5.8,97,88.6,11.4,3,2.7
ZCTA5 01035,10.3,96.9,85.8,11.9,3.1,2.9
ZCTA5 01036,2.1,98.6,94.3,5.7,1.4,2.1
ZCTA5 01037,2.3,96.2,86.8,11.5,3.8,4.1
ZCTA5 01038,3,95,85.8,11.7,5,6
ZCTA5 01039,8.6,96.9,85.4,13.6,3.1,6.5
ZCTA5 01040,35.8,94.6,71.5,24.9,5.4,2.8
ZCTA5 01050,16.3,94.4,82.4,16.2,5.6,4.6
ZCTA5 01053,9.9,98.4,95.6,4.6,1.6,8.5
ZCTA5 01054,8.3,98.5,88.3,13.3,1.5,3.7
ZCTA5 01056,7.7,97.2,88.7,11.6,2.8,1.8
ZCTA5 01057,11,94.4,88.6,9.7,5.6,2.1
ZCTA5 01060,13.9,95.7,87,11.5,4.3,2.7
ZCTA5 01062,7.4,98.2,92.2,7.8,1.8,4.3
ZCTA5 01063,9999999.99,96.5,96.5,0,3.5,9999999.99
ZCTA5 01066,0,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 01068,6.1,97,93.2,7.6,3,1.8
ZCTA5 01069,16.2,93.6,84.6,12.2,6.4,2.2
ZCTA5 01070,10.5,96.6,79.8,26.6,3.4,5.2
ZCTA5 01071,3.6,94.5,91.4,5.2,5.5,1.4
ZCTA5 01072,5.2,96.7,87.9,10.7,3.3,2.7
ZCTA5 01073,6,98.2,88.6,12.6,1.8,3
ZCTA5 01074,0,74.4,54.2,20.2,25.6,34.6
ZCTA5 01075,7.7,94.8,91.1,5.7,5.2,2
ZCTA5 01077,3.2,95.1,87.5,10.2,4.9,1.6
ZCTA5 01079,12.9,82.7,75.5,7.2,17.3,13.4
ZCTA5 01080,21.4,95.4,88.9,12.5,4.6,14.5
ZCTA5 01081,12.3,91.4,87.6,7,8.6,3.3
ZCTA5 01082,14.5,95.9,85.2,13.8,4.1,4.2
ZCTA5 01083,13.6,98.2,80.4,20.9,1.8,7.9
ZCTA5 01084,0,94.8,70.8,30.2,5.2,37.6
ZCTA5 01085,15.5,95.7,84.1,15,4.3,1.9
ZCTA5 01086,9999999.99,100,100,6.1,0,9999999.99
ZCTA5 01088,16.8,81.2,81.2,0,18.8,36
ZCTA5 01089,17.1,95,78.3,19,5,2.7
ZCTA5 01092,14.3,100,86.8,13.2,0,21.8
ZCTA5 01093,0,100,91.1,8.9,0,34.6
ZCTA5 01094,14.3,100,100,7,0,38.5
ZCTA5 01095,6.4,96.5,92.6,6.4,3.5,1.1
ZCTA5 01096,6.7,97.6,88.4,13.1,2.4,3.1
ZCTA5 01097,21.4,100,33.3,66.7,0,88.8
ZCTA5 01098,6.9,94.2,85,11.7,5.8,1.3
ZCTA5 01103,50.5,90.2,57.3,41.2,9.8,12.9
ZCTA5 01104,40.4,93.5,66.5,31.3,6.5,4.4
ZCTA5 01105,62.5,78.3,31.5,49,21.7,6.5
ZCTA5 01106,2.7,98.2,96.8,3.4,1.8,1.9
ZCTA5 01107,59.9,81.1,50.9,37.9,18.9,6.6
ZCTA5 01108,37.8,89.2,65.1,29.4,10.8,4.3
ZCTA5 01109,38.3,88.9,62.8,29.2,11.1,3.7
ZCTA5 01118,17.5,96.9,85.7,12.8,3.1,2.7
ZCTA5 01119,20.6,92.2,80.6,14.2,7.8,3.6
ZCTA5 01128,9.7,97.5,86.3,17.9,2.5,1.7
ZCTA5 01129,15.5,98.5,89.6,12.7,1.5,5.1
ZCTA5 01151,39.9,93.1,63.3,36.2,6.9,7.3
ZCTA5 01199,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99,9999999.99
ZCTA5 01201,19.3,97.1,78.9,21.8,2.9,2.2
ZCTA5 01220,17.9,95.3,78.1,21,4.7,3.8
ZCTA5 01222,2.2,95.6,81.5,14.1,4.4,14.9
ZCTA5 01223,7.9,95,85.1,11,5,2.1
ZCTA5 01224,7.9,100,94.3,5.7,0,44
ZCTA5 01225,10.9,97.9,85.7,15.2,2.1,4.9
ZCTA5 01226,14.3,99,81,24.7,1,5.2
ZCTA5 01229,10.3,100,100,0,0,53.6
ZCTA5 01230,9.7,87.4,69.4,21.8,12.6,2.8
ZCTA5 01235,4.5,97.4,90,12.3,2.6,2
ZCTA5 01236,4.7,92.9,68.6,30.5,7.1,5.4
ZCTA5 01237,8.7,97.7,90,8.6,2.3,0.4
ZCTA5 01238,8.5,95.3,86.4,10.6,4.7,3.8
ZCTA5 01240,8.3,95.3,83.2,15.3,4.7,6.2
ZCTA5 01242,11.3,100,99,1,0,42.3
ZCTA5 01243,1.7,92,77.5,16.4,8,8.1
ZCTA5 01244,4.3,88.5,88.5,12.8,11.5,51.3
ZCTA5 01245,3.7,98.8,79.5,23.1,1.2,4.8
ZCTA5 01247,20.3,95.6,78.5,21.1,4.4,3.8
ZCTA5 01253,12.3,98.6,86.2,19.8,1.4,3.2
ZCTA5 01254,4.4,98.5,96.6,3.9,1.5,1.8
ZCTA5 01255,8.9,95.6,80.6,17.4,4.4,3.3
ZCTA5 01256,10.3,98.8,93,8.5,1.2,3.5
ZCTA5 01257,4.9,99.3,76.3,27,0.7,7.4
ZCTA5 01258,1.7,98.1,75,26.9,1.9,5.2
ZCTA5 01259,2,80.7,70.8,12.7,19.3,3.9
ZCTA5 01260,10.9,78.1,78.1,30.1,21.9,49.9
ZCTA5 01262,7.2,92.8,82.1,15.2,7.2,4.5
ZCTA5 01264,3.1,88.1,83.3,9.5,11.9,50.6
ZCTA5 01266,9.7,95.7,85.7,16,4.3,4.2
ZCTA5 01267,7.3,97.7,92.2,7.9,2.3,1.8
ZCTA5 01270,9.4,91.3,81,11.2,8.7,2.8
ZCTA5 01301,19.7,94.2,79.6,19,5.8,2.9
ZCTA5 01330,7.5,95.2,84.9,16.9,4.8,3.1
ZCTA5 01331,19,94.5,81.2,17.4,5.5,4.4
ZCTA5 01337,7,94.5,87.2,11,5.5,2
