,Zipcode,FoodStamp,WithHealthCoverage,WithPrivateInsurance,Withpubliccoverage,Nohealthinsurancecoverage,BelowPovertyLevel
0,00601,52.5,80.3,43.2,37.9,19.7,4.0
1,00602,43.0,90.3,51.3,41.6,9.7,2.8
2,00603,43.1,90.5,61.9,31.3,9.5,2.9
3,00606,53.3,94.3,59.3,37.6,5.7,5.9
4,00610,43.4,94.8,61.6,35.4,5.2,4.0
5,00612,44.0,88.1,65.0,25.1,11.9,2.3
6,00616,49.9,84.9,55.9,30.7,15.1,6.1
7,00617,42.7,88.0,65.0,26.5,12.0,4.6
8,00622,38.2,100.0,65.4,37.2,0.0,8.4
9,00623,33.9,92.5,68.7,25.8,7.5,3.3
10,00624,50.6,92.2,55.4,39.5,7.8,4.2
11,00627,44.3,91.0,54.4,38.4,9.0,3.2
12,00631,66.3,84.0,33.1,52.9,16.0,13.7
13,00637,42.2,93.2,66.4,30.3,6.8,4.3
14,00638,57.3,90.0,50.4,42.6,10.0,4.5
15,00641,52.0,82.4,42.6,40.7,17.6,3.4
16,00646,29.6,91.4,73.9,19.5,8.6,3.1
17,00647,48.4,87.0,61.1,29.4,13.0,8.8
18,00650,44.7,87.9,53.0,37.2,12.1,5.6
19,00652,41.5,92.0,77.7,16.2,8.0,10.5
20,00653,54.2,91.3,45.3,49.3,8.7,4.2
21,00656,48.7,92.9,63.1,32.1,7.1,3.4
22,00659,43.5,89.7,58.0,33.3,10.3,3.2
23,00660,35.8,91.7,68.3,27.0,8.3,4.0
24,00662,40.8,88.3,56.6,32.6,11.7,3.4
25,00664,51.2,97.8,53.1,46.5,2.2,6.0
26,00667,46.2,94.0,59.2,36.9,6.0,3.7
27,00669,53.5,77.1,41.7,37.7,22.9,3.2
28,00670,45.7,94.0,54.4,40.5,6.0,5.6
29,00674,38.7,86.8,64.0,25.0,13.2,2.7
30,00676,49.6,91.9,53.2,41.7,8.1,3.5
31,00677,38.5,94.1,51.9,45.2,5.9,4.9
32,00678,48.4,92.2,49.4,45.2,7.8,4.5
33,00680,39.6,88.7,57.2,34.4,11.3,2.8
34,00682,37.3,88.9,67.5,24.3,11.1,3.4
35,00683,40.9,93.4,60.2,35.1,6.6,3.2
36,00685,50.5,89.9,42.3,49.2,10.1,2.8
37,00687,50.7,92.3,53.0,41.1,7.7,4.3
38,00688,48.5,86.9,53.4,34.6,13.1,5.0
39,00690,34.6,94.6,66.2,29.7,5.4,8.2
40,00692,40.9,88.4,62.8,27.9,11.6,3.3
41,00693,37.0,88.6,67.8,22.2,11.4,2.5
42,00694,16.5,100.0,100.0,0.0,0.0,62.5
43,00698,46.2,92.0,57.8,36.5,8.0,2.9
44,00703,49.9,89.7,51.1,42.0,10.3,4.3
45,00704,48.4,92.6,43.7,50.8,7.4,7.7
46,00705,50.8,94.9,65.8,31.0,5.1,4.1
